epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2331,1.70645,2.26303,1.71489,0.00089,0.06003,0.0006,0.00014,3.75798,inf,55.5906,0.0703226,0.00329749,0.00329749
2,123.949,1.67819,1.76831,1.66509,0.46508,0.27269,0.25964,0.12788,2.33564,28.7497,2.79522,0.0402569,0.00656518,0.00656518
3,181.365,1.58946,1.62457,1.62154,0.51774,0.42617,0.49504,0.26899,2.08302,6.15071,2.30422,0.0101253,0.00976687,0.00976687
4,236.129,1.50875,1.47459,1.54824,0.6296,0.61814,0.61875,0.34872,1.83046,3.1149,2.01355,0.009703,0.009703,0.009703
5,296.003,1.46926,1.41938,1.52728,0.80675,0.62845,0.69048,0.40928,1.75825,2.43135,1.90772,0.009604,0.009604,0.009604
6,357.709,1.44581,1.33406,1.50903,0.77321,0.67968,0.73766,0.45423,1.69642,1.88689,1.82738,0.009505,0.009505,0.009505
7,418.888,1.37707,1.23655,1.45467,0.80749,0.6803,0.75693,0.46438,1.59214,1.8642,1.73792,0.009406,0.009406,0.009406
8,478.367,1.35301,1.19443,1.43496,0.82192,0.7071,0.77,0.48182,1.58355,1.70484,1.72626,0.009307,0.009307,0.009307
9,533.136,1.33875,1.16661,1.42314,0.76991,0.73623,0.78212,0.49544,1.54873,1.66258,1.69253,0.009208,0.009208,0.009208
10,588.318,1.32112,1.14716,1.40412,0.79909,0.70639,0.76241,0.46094,1.62906,1.65048,1.75157,0.009109,0.009109,0.009109
11,642.351,1.29295,1.14733,1.39135,0.7968,0.72032,0.77916,0.49726,1.52124,1.5273,1.66303,0.00901,0.00901,0.00901
12,699.337,1.25895,1.07118,1.37692,0.79779,0.76638,0.80539,0.51891,1.48376,1.41784,1.62719,0.008911,0.008911,0.008911
13,764.943,1.26253,1.05305,1.37008,0.81986,0.74393,0.79543,0.50203,1.49233,1.5706,1.65072,0.008812,0.008812,0.008812
14,818.949,1.24343,1.03659,1.36034,0.8147,0.74536,0.81248,0.5189,1.46714,1.43385,1.6123,0.008713,0.008713,0.008713
15,873.361,1.23388,1.0419,1.35084,0.80543,0.73389,0.78621,0.51414,1.52319,1.47835,1.63726,0.008614,0.008614,0.008614
16,927.547,1.22973,0.99767,1.339,0.79542,0.79287,0.81904,0.53041,1.47869,1.42625,1.62155,0.008515,0.008515,0.008515
17,992.562,1.20812,0.97852,1.33331,0.82172,0.79032,0.83407,0.53522,1.45679,1.24658,1.61351,0.008416,0.008416,0.008416
18,1053.85,1.19453,0.95405,1.32204,0.82633,0.77939,0.83029,0.54793,1.4118,1.22751,1.57015,0.008317,0.008317,0.008317
19,1113.14,1.17504,0.92564,1.30916,0.82528,0.75883,0.81872,0.52671,1.46,1.35972,1.60399,0.008218,0.008218,0.008218
20,1167.63,1.17162,0.90224,1.30295,0.82825,0.7966,0.83624,0.53657,1.44175,1.2175,1.57321,0.008119,0.008119,0.008119
21,1221.75,1.18854,0.95485,1.33654,0.84224,0.78974,0.83587,0.55365,1.4076,1.24118,1.54812,0.00802,0.00802,0.00802
22,1279.9,1.14489,0.89357,1.30027,0.83518,0.81897,0.8584,0.561,1.39486,1.13631,1.54197,0.007921,0.007921,0.007921
23,1340.78,1.16365,0.88757,1.30757,0.81111,0.79486,0.83534,0.54148,1.4187,1.20505,1.55798,0.007822,0.007822,0.007822
24,1394.82,1.15434,0.89522,1.29499,0.83424,0.7956,0.83851,0.55614,1.41744,1.19852,1.55511,0.007723,0.007723,0.007723
25,1449.56,1.11508,0.86668,1.27367,0.82672,0.77241,0.82722,0.54561,1.42864,1.21149,1.57033,0.007624,0.007624,0.007624
26,1503.69,1.12578,0.85513,1.26698,0.83807,0.77942,0.82513,0.55511,1.39475,1.19414,1.52853,0.007525,0.007525,0.007525
27,1557.94,1.14278,0.87703,1.29013,0.80252,0.835,0.83767,0.55064,1.39631,1.15212,1.55226,0.007426,0.007426,0.007426
28,1612.16,1.12655,0.85564,1.27323,0.82627,0.79406,0.83834,0.55927,1.40839,1.2054,1.54784,0.007327,0.007327,0.007327
29,1672.38,1.09882,0.83794,1.26721,0.81494,0.8309,0.85537,0.5733,1.37712,1.07557,1.51799,0.007228,0.007228,0.007228
30,1760.67,1.08994,0.80522,1.25507,0.83866,0.84477,0.85886,0.57482,1.36944,1.09249,1.51655,0.007129,0.007129,0.007129
31,1820.22,1.0986,0.82769,1.2589,0.82733,0.82908,0.84601,0.56056,1.40621,1.07864,1.54553,0.00703,0.00703,0.00703
32,1874.42,1.09089,0.80976,1.25075,0.85722,0.79517,0.84823,0.56507,1.42249,1.14783,1.54656,0.006931,0.006931,0.006931
33,1928.68,1.09821,0.83663,1.25998,0.84507,0.82475,0.85699,0.57694,1.34617,1.03123,1.49689,0.006832,0.006832,0.006832
34,1986.32,1.06643,0.78005,1.23676,0.85826,0.80667,0.85344,0.57074,1.34931,1.03556,1.49499,0.006733,0.006733,0.006733
35,2045.83,1.0719,0.76867,1.2327,0.83553,0.81855,0.85665,0.57092,1.37991,1.04146,1.53953,0.006634,0.006634,0.006634
36,2104.69,1.07317,0.77743,1.2471,0.84299,0.81481,0.84308,0.56355,1.37547,1.08703,1.52163,0.006535,0.006535,0.006535
37,2159.2,1.03757,0.75273,1.22488,0.84766,0.83057,0.86022,0.57254,1.37592,1.03138,1.51603,0.006436,0.006436,0.006436
38,2218.67,1.03891,0.73377,1.2092,0.84604,0.83089,0.86515,0.58132,1.34054,0.99059,1.49104,0.006337,0.006337,0.006337
39,2281.1,1.03157,0.7345,1.22201,0.84053,0.81374,0.8506,0.56039,1.39435,1.12104,1.54274,0.006238,0.006238,0.006238
40,2335.01,1.02678,0.71737,1.21311,0.83783,0.84617,0.86642,0.58026,1.36636,0.99493,1.5036,0.006139,0.006139,0.006139
41,2394.53,1.02429,0.74402,1.21233,0.83494,0.8303,0.86289,0.58345,1.3475,1.01558,1.50039,0.00604,0.00604,0.00604
42,2455.09,1.02753,0.73407,1.21209,0.84852,0.83324,0.86564,0.58537,1.3702,1.00108,1.50408,0.005941,0.005941,0.005941
43,2516.41,1.03208,0.73573,1.21954,0.83348,0.82874,0.86251,0.5844,1.36123,1.03451,1.50764,0.005842,0.005842,0.005842
44,2576.25,1.01028,0.71787,1.20038,0.86096,0.83718,0.87288,0.58965,1.32141,0.97349,1.47379,0.005743,0.005743,0.005743
45,2637.38,1.02333,0.72576,1.21755,0.84426,0.831,0.8695,0.58869,1.33012,0.99835,1.49259,0.005644,0.005644,0.005644
46,2691.6,1.01305,0.71105,1.20065,0.86194,0.82658,0.86731,0.58248,1.34487,0.98742,1.48849,0.005545,0.005545,0.005545
47,2746.3,1.00732,0.68971,1.1977,0.8402,0.84639,0.86428,0.58505,1.33106,0.96997,1.46857,0.005446,0.005446,0.005446
48,2800.31,1.00793,0.69342,1.2009,0.82457,0.84309,0.86255,0.58166,1.34479,1.00578,1.49144,0.005347,0.005347,0.005347
49,2854.45,0.99119,0.69675,1.1952,0.84566,0.84684,0.87027,0.59541,1.30598,0.97912,1.45437,0.005248,0.005248,0.005248
